SOC,OCV
99.99463719,4.189739
99.99463719,4.189739
99.98909562,4.189335
99.98355404,4.189364
99.97801247,4.18896
99.9724709,4.188984
99.96138775,4.188876
99.95584618,4.18885
99.95048337,4.188668
99.9449418,4.1886
99.93385865,4.188251
99.92831708,4.188284
99.92277551,4.188312
99.91723393,4.188429
99.91169236,4.187818
99.90615079,4.187929
99.90078798,4.188197
99.8952464,4.187776
99.88416326,4.18784
99.87862169,4.187778
99.87308011,4.187384
99.86753854,4.187343
99.86199697,4.187636
99.8564554,4.187532
99.85109258,4.187147
99.84000944,4.187348
99.82892629,4.186738
99.82338472,4.186944
99.81784315,4.186993
99.81230158,4.186644
99.80676,4.186662
99.80121843,4.186738
99.79031405,4.186487
99.78477247,4.186377
99.77368933,4.18638
99.76814776,4.1862
99.76260618,4.186289
99.75706461,4.186233
99.75152304,4.186138
99.74598147,4.185734
99.74043989,4.185966
99.73507708,4.186167
99.72953551,4.185877
99.72399394,4.185366
99.71845236,4.185676
99.71291079,4.185768
99.70736922,4.185573
99.70182765,4.185271
99.69628607,4.185596
99.69092326,4.185346
99.68538169,4.185152
99.67984012,4.18509
99.67429854,4.185085
99.66875697,4.185099
99.65767383,4.184792
99.65213225,4.184989
99.64659068,4.184645
99.64122787,4.184721
99.6356863,4.184562
99.63014472,4.184669
99.62460315,4.184413
99.61352001,4.184393
99.60243686,4.184247
99.59689529,4.184014
99.59153248,4.184269
99.5859909,4.183789
99.58044933,4.183755
99.57490776,4.184009
99.56382461,4.183733
99.55828304,4.183505
99.55274147,4.183789
99.5471999,4.183709
99.54165832,4.183429
99.53629551,4.183291
99.53075394,4.183432
99.52521237,4.183422
99.51967079,4.183239
99.50858765,4.183305
99.50304608,4.182996
99.4975045,4.18296
99.49196293,4.182752
99.48642136,4.182755
99.48087979,4.182626
99.47533821,4.182554
99.4699754,4.182718
99.46443383,4.182752
99.45335069,4.18222
99.44226754,4.182334
99.43672597,4.182122
99.43118439,4.182019
99.42564282,4.182329
